config_id,ejecucion,seed,costo,factible,tiempo,iteracion_mejor,convergencia_final,tam_poblacion,w,c1,c2,p_f,bha_ratio,h,l,t,b,g1_tau,g2_sigma,g3_h_vs_b,g4_diseno,g5_h_min,g6_deflexion,g7_pandeo
0,0,1000,1.8399443806916205,True,0.6884493827819824,199,1.8399443806916205,50,0.4,1.2,1.8,0.3,0.2,0.23758818822359826,3.118710582544347,8.409240251347327,0.23758856946976142,-43.73769703490143,-2.0571798125456553,-3.8124616316692617e-07,-3.3361010532941826,-0.11258818822359826,-0.23446260273218245,-2804.307809283222
0,1,1001,2.228590718843817,True,0.6764798164367676,199,2.228590718843817,50,0.4,1.2,1.8,0.3,0.2,0.353557443231088,2.2990040662691547,6.893242204868892,0.35356337970067125,-2.7652700261642167,-0.3503376654916792,-5.936469583245341e-06,-3.058791377613255,-0.228557443231088,-0.2310444582000602,-19119.150057597028
0,2,1002,2.172380673759799,True,0.6718320846557617,199,2.172380673759799,50,0.4,1.2,1.8,0.3,0.2,0.3363327246703266,2.3872557026091545,7.067532184538411,0.3363363220982856,-2.564541086741883,-0.005444421633001184,-3.5974279590234026e-06,-3.097664979163172,-0.2113327246703266,-0.23151170174519414,-16034.687593462771
0,3,1003,1.8669993356925219,True,0.6669573783874512,194,1.8669993356925219,50,0.4,1.2,1.8,0.3,0.2,0.2458282434707498,3.0272656838720873,8.266532976085202,0.24585824976010823,-2.3818014768185094,-1.5410071226942819,-3.0006289358425198e-05,-3.315942947035629,-0.1208282434707498,-0.23419410469872592,-3641.137756947832
0,4,1004,1.7277439476324596,True,0.6946995258331299,199,1.7277439476324596,50,0.4,1.2,1.8,0.3,0.2,0.2062460686737937,3.4655955060691834,9.021404003246243,0.20643864937136108,-1.0630475685939018,-2.0716756461188197,-0.0001925806975673905,-3.4196736161940944,-0.08124606867379369,-0.23551692803899688,-55.52901719640613
0,5,1005,2.500797667796518,True,0.6687631607055664,199,2.500797667796518,50,0.4,1.2,1.8,0.3,0.2,0.4391517389898814,1.9495337125806418,6.188743666605128,0.43915177420173024,-0.10929609630875348,-35.23300497017408,-3.5211848825600356e-08,-2.8751781939157857,-0.3141517389898814,-0.22891119516544403,-38281.46415132845
0,6,1006,1.7848574093590144,True,0.7113094329833984,198,1.7848574093590144,50,0.4,1.2,1.8,0.3,0.2,0.2222706981404599,3.275270645710284,8.693535986372304,0.22228818021612612,-19.254113237117053,-7.849074972909875e-05,-1.748207566620863e-05,-3.376954923842705,-0.09727069814045991,-0.23496967556933973,-1375.843189929712
0,7,1007,2.680480104360471,True,0.6940009593963623,199,2.680480104360471,50,0.4,1.2,1.8,0.3,0.2,0.4392774843074497,2.1923823984297566,5.913556692548199,0.48040998306666494,-814.2815526173345,-0.018738095091975993,-0.041132498759215264,-2.7425723254580543,-0.3142774843074497,-0.22790389238738368,-49915.22985959899
0,8,1008,2.7388314186461815,True,0.676997184753418,199,2.7388314186461815,50,0.4,1.2,1.8,0.3,0.2,0.5174743752976416,1.720229196332075,5.6978155651657545,0.5174799027549691,-0.25809209969156655,-0.06774442685491522,-5.527457327514362e-06,-2.7218110895197873,-0.3924743752976416,-0.2270672865578704,-61826.3205093509
0,9,1009,2.976278858359264,True,0.6937379837036133,199,2.976278858359264,50,0.4,1.2,1.8,0.3,0.2,0.41336551768110735,2.4723600785561994,5.305155764985925,0.5969160452720821,-61.8460775943513,-0.017326111210422823,-0.18355052759097473,-2.4461759072277585,-0.28836551768110735,-0.2253698860146148,-92208.18312899293
1,0,1100,1.8117405335904244,True,0.6582319736480713,199,1.8117405335904244,50,0.4,1.2,1.8,0.3,0.4,0.21521230352921142,3.7225113297643673,8.835223809834817,0.21521783755797683,-1087.3385475129544,-0.28268893683343777,-5.5340287654082054e-06,-3.36067255039782,-0.09021230352921142,-0.23521085167600975,-767.2113706175314
1,1,1101,2.222891115931586,True,0.6604828834533691,199,2.222891115931586,50,0.4,1.2,1.8,0.3,0.4,0.32032403246753105,2.582607371151215,6.944237601095972,0.3483998920895946,-0.8942135402157874,-1.2346814813972742,-0.028075859622063548,-3.0421037331694762,-0.19532403246753105,-0.23118421395571784,-18169.132209211606
1,2,1102,2.201694740986225,True,0.6576313972473145,199,2.201694740986225,50,0.4,1.2,1.8,0.3,0.4,0.34352860813423947,2.354851958821594,6.976866869330262,0.34514131269750736,-2.7106496782671456,-0.5896928592737822,-0.0016127045632678971,-3.076205823741007,-0.21852860813423947,-0.2312718085820089,-17580.64908673532
1,3,1103,2.5278566964078055,True,0.6898562908172607,199,2.5278566964078055,50,0.4,1.2,1.8,0.3,0.4,0.4069251561787697,2.167148239804898,6.130747018012926,0.4469802424168789,-15.139149260621707,-0.40314246100751916,-0.04005508623810922,-2.8309972256156004,-0.2819251561787697,-0.22868695113770465,-40346.27296599619
1,4,1104,1.7406020484241704,True,0.7300925254821777,199,1.7406020484241704,50,0.4,1.2,1.8,0.3,0.4,0.19514161054352208,3.713829472271308,9.036776642469649,0.2057288777730725,-2.2247313609113917e-05,-0.9029464629420545,-0.010587267229550418,-3.4008214995243415,-0.07014161054352208,-0.23554100217337284,4.93775587528944e-07
1,5,1105,1.8729500734603721,True,0.6761746406555176,199,1.8729500734603721,50,0.4,1.2,1.8,0.3,0.4,0.24748055129970895,3.011781914639861,8.237462161582735,0.24758419745940527,-0.3045537294638052,-0.0348986042663455,-0.00010364615969632451,-3.311511398841817,-0.12248055129970895,-0.23413752778455849,-3821.492308299805
1,6,1106,1.8076882396666512,True,0.6439874172210693,199,1.8076882396666512,50,0.4,1.2,1.8,0.3,0.4,0.2269067014843677,3.230008006740129,8.575407805903488,0.2284562447668912,-3.8012538699240395,-0.2290954237614642,-0.0015495432825234912,-3.3586140558801914,-0.1019067014843677,-0.23476274577415807,-1933.146527360931
1,7,1107,2.374378544103755,True,0.6649312973022461,199,2.374378544103755,50,0.4,1.2,1.8,0.3,0.4,0.24284241699280754,3.8035234984929693,6.766546903648025,0.3669231291897365,6.79574441164732e-09,4.5675551518797874e-07,-0.12408071219692898,-2.8499245152633708,-0.11784241699280754,-0.23068931339289023,-21681.948385201827
1,8,1108,1.8769708610303917,True,0.6595942974090576,199,1.8769708610303917,50,0.4,1.2,1.8,0.3,0.4,0.2169773270901452,3.51186444977342,8.353742271648246,0.24073951100793664,-0.048178240131164785,-0.01637304445466725,-0.023762183917791446,-3.288364768953537,-0.0919773270901452,-0.23435831617687905,-3117.5156774102397
1,9,1109,2.0580311932440543,True,0.6582701206207275,199,2.0580311932440543,50,0.4,1.2,1.8,0.3,0.4,0.30182577789490334,2.5900987940744105,7.4603064585034735,0.30185360146831985,-0.15543961310868326,-0.02874893646730925,-2.7823573416518865e-05,-3.1779236993004183,-0.17682577789490334,-0.23248509733804043,-10580.764416623904
2,0,1200,2.221085075597458,True,0.649254322052002,199,2.221085075597458,50,0.4,1.2,1.8,0.3,0.6,0.350304732259045,2.3175739506278483,6.916245880308633,0.3512112900486867,-0.5188030708668521,-0.0024620564217912033,-0.0009065577896416599,-3.0633123162502605,-0.22530473225904502,-0.23110728591719584,-18683.40215835363
2,1,1201,2.238067174731005,True,0.653827428817749,198,2.238067174731005,50,0.4,1.2,1.8,0.3,0.6,0.35617941970009226,2.286689865307742,6.864693200616688,0.3565062052026823,-0.00045077686445438303,-0.005277425218082499,-0.00032678550259002126,-3.0520309430238557,-0.23117941970009226,-0.23096540663043622,-19670.624750962383
